 Package                              Name                                                                       Type    Status         Version        
 Access                               Protected Pages (protected_pages)                                          Module  Enabled        7.x-2.4        
 Access control                       ACL (acl)                                                                  Module  Not installed  7.x-1.0        
 Access control                       Content Access (content_access)                                            Module  Not installed  7.x-1.2-beta2  
 Access control                       Content Access Rules Integrations (content_access_rules)                   Module  Not installed  7.x-1.2-beta2  
 Administration                       Administration Development tools (admin_devel)                             Module  Enabled        7.x-3.0-rc5    
 Administration                       Administration menu (admin_menu)                                           Module  Enabled        7.x-3.0-rc5    
 Administration                       Administration menu Toolbar style (admin_menu_toolbar)                     Module  Enabled        7.x-3.0-rc5    
 Administration                       Coffee (coffee)                                                            Module  Enabled        7.x-2.2        
 Build a Module                       Interact (interact)                                                        Module  Disabled                      
 Bulk Photo Nodes                     Bulk Photo Nodes (bulk_photo_nodes)                                        Module  Enabled        7.x-1.0        
 Bulk Photo Nodes                     Bulk Photo Nodes Flickr (bpn_flickr)                                       Module  Not installed  7.x-1.0        
 Bulk Photo Nodes                     Bulk Photo Nodes Flickr Private (bpn_flickr_private)                       Module  Not installed  7.x-1.0        
 Bulk Photo Nodes                     Bulk Photo Nodes Upload (bpn_upload)                                       Module  Enabled        7.x-1.0        
 Chaos tool suite                     Bulk Export (bulk_export)                                                  Module  Disabled       7.x-1.5        
 Chaos tool suite                     Chaos tools (ctools)                                                       Module  Enabled        7.x-1.5        
 Chaos tool suite                     Chaos Tools (CTools) AJAX Example (ctools_ajax_sample)                     Module  Enabled        7.x-1.5        
 Chaos tool suite                     Chaos Tools (CTools) Plugin Example (ctools_plugin_example)                Module  Not installed  7.x-1.5        
 Chaos tool suite                     Custom content panes (ctools_custom_content)                               Module  Not installed  7.x-1.5        
 Chaos tool suite                     Custom rulesets (ctools_access_ruleset)                                    Module  Not installed  7.x-1.5        
 Chaos tool suite                     Page manager (page_manager)                                                Module  Enabled        7.x-1.5        
 Chaos tool suite                     Stylizer (stylizer)                                                        Module  Not installed  7.x-1.5        
 Chaos tool suite                     Term Depth access (term_depth)                                             Module  Not installed  7.x-1.5        
 Chaos tool suite                     Views content panes (views_content)                                        Module  Enabled        7.x-1.5        
 Charts                               Charts (charts)                                                            Module  Enabled        7.x-2.0-rc1    
 Charts                               Charts and Graphs (charts_graphs)                                          Module  Enabled        7.x-2.0        
 Charts                               Google Charts (charts_google)                                              Module  Enabled        7.x-2.0-rc1    
 Charts                               Highcharts (charts_highcharts)                                             Module  Disabled       7.x-2.0-rc1    
 Commerce                             Cart (commerce_cart)                                                       Module  Enabled        7.x-1.11       
 Commerce                             Checkout (commerce_checkout)                                               Module  Enabled        7.x-1.11       
 Commerce                             Commerce (commerce)                                                        Module  Enabled        7.x-1.11       
 Commerce                             Commerce UI (commerce_ui)                                                  Module  Enabled        7.x-1.11       
 Commerce                             Customer (commerce_customer)                                               Module  Enabled        7.x-1.11       
 Commerce                             Customer UI (commerce_customer_ui)                                         Module  Enabled        7.x-1.11       
 Commerce                             Line Item (commerce_line_item)                                             Module  Enabled        7.x-1.11       
 Commerce                             Line Item UI (commerce_line_item_ui)                                       Module  Enabled        7.x-1.11       
 Commerce                             Order (commerce_order)                                                     Module  Enabled        7.x-1.11       
 Commerce                             Order UI (commerce_order_ui)                                               Module  Enabled        7.x-1.11       
 Commerce                             Payment (commerce_payment)                                                 Module  Enabled        7.x-1.11       
 Commerce                             Payment Method Example (commerce_payment_example)                          Module  Not installed  7.x-1.11       
 Commerce                             Payment UI (commerce_payment_ui)                                           Module  Enabled        7.x-1.11       
 Commerce                             Price (commerce_price)                                                     Module  Enabled        7.x-1.11       
 Commerce                             Product (commerce_product)                                                 Module  Enabled        7.x-1.11       
 Commerce                             Product Pricing (commerce_product_pricing)                                 Module  Enabled        7.x-1.11       
 Commerce                             Product Pricing UI (commerce_product_pricing_ui)                           Module  Enabled        7.x-1.11       
 Commerce                             Product Reference (commerce_product_reference)                             Module  Enabled        7.x-1.11       
 Commerce                             Product UI (commerce_product_ui)                                           Module  Enabled        7.x-1.11       
 Commerce                             Tax (commerce_tax)                                                         Module  Not installed  7.x-1.11       
 Commerce                             Tax UI (commerce_tax_ui)                                                   Module  Not installed  7.x-1.11       
 Commerce (contrib)                   Commerce (Product Display Manager) (commerce_pdm)                          Module  Enabled        7.x-1.0-alpha4 
 Commerce (contrib)                   Commerce Email (commerce_email)                                            Module  Enabled        7.x-2.x-dev    
 Commerce (contrib)                   Commerce Message (commerce_message)                                        Module  Enabled        7.x-1.0-rc4    
 Commerce (contrib)                   Commerce Rules Extra (commerce_rules_extra)                                Module  Enabled        7.x-2.1        
 Commerce (contrib)                   Commerce Stripe (commerce_stripe)                                          Module  Enabled        7.x-1.1        
 Commerce (contrib)                   Customer Profile Type UI (customer_profile_type_ui)                        Module  Enabled        7.x-1.0        
 Commerce (contrib)                   Customizable Products (commerce_custom_product)                            Module  Enabled        7.x-1.0-beta2  
 Commerce (PayPal)                    PayPal (commerce_paypal)                                                   Module  Enabled        7.x-2.3        
 Commerce (PayPal)                    PayPal Express Checkout (commerce_paypal_ec)                               Module  Not installed  7.x-2.3        
 Commerce (PayPal)                    PayPal Payments Advanced and Payflow Link (commerce_payflow)               Module  Not installed  7.x-2.3        
 Commerce (PayPal)                    PayPal WPP (commerce_paypal_wpp)                                           Module  Enabled        7.x-2.3        
 Commerce (PayPal)                    PayPal WPS (commerce_paypal_wps)                                           Module  Enabled        7.x-2.3        
 Commerce (reporting)                 Commerce Reports: Stock levels (commerce_reports_stock)                    Module  Not installed  7.x-4.0-beta3  
 Commerce (reporting)                 Pattern mining (experimental) (commerce_reports_patterns)                  Module  Enabled        7.x-4.0-beta3  
 Commerce (reporting)                 Reports (commerce_reports)                                                 Module  Enabled        7.x-4.0-beta3  
 Commerce (reporting)                 Tax reports (commerce_reports_tax)                                         Module  Not installed  7.x-4.0-beta3  
 Commerce Product Enhancements        Product Attributes (commerce_product_attributes)                           Module  Enabled        7.x-1.0-beta3  
 Context                              Context (context)                                                          Module  Enabled        7.x-3.6        
 Context                              Context layouts (context_layouts)                                          Module  Not installed  7.x-3.6        
 Context                              Context UI (context_ui)                                                    Module  Enabled        7.x-3.6        
 Database                             Schema (schema)                                                            Module  Disabled       7.x-1.0-beta4  
 Date/Time                            Calendar (calendar)                                                        Module  Enabled        7.x-3.5        
 Date/Time                            Date (date)                                                                Module  Enabled        7.x-2.8        
 Date/Time                            Date All Day (date_all_day)                                                Module  Enabled        7.x-2.8        
 Date/Time                            Date API (date_api)                                                        Module  Enabled        7.x-2.8        
 Date/Time                            Date Context (date_context)                                                Module  Not installed  7.x-2.8        
 Date/Time                            Date Popup (date_popup)                                                    Module  Enabled        7.x-2.8        
 Date/Time                            Date Repeat API (date_repeat)                                              Module  Enabled        7.x-2.8        
 Date/Time                            Date Repeat Field (date_repeat_field)                                      Module  Enabled        7.x-2.8        
 Date/Time                            Date Tools (date_tools)                                                    Module  Enabled        7.x-2.8        
 Date/Time                            Date Views (date_views)                                                    Module  Enabled        7.x-2.8        
 Development                          Devel (devel)                                                              Module  Enabled        7.x-1.5        
 Development                          Devel generate (devel_generate)                                            Module  Not installed  7.x-1.5        
 Development                          Devel node access (devel_node_access)                                      Module  Not installed  7.x-1.5        
 Display Suite                        Display Suite (ds)                                                         Module  Enabled        7.x-2.7        
 Display Suite                        Display Suite Devel (ds_devel)                                             Module  Not installed  7.x-2.7        
 Display Suite                        Display Suite Extras (ds_extras)                                           Module  Enabled        7.x-2.7        
 Display Suite                        Display Suite Format (ds_format)                                           Module  Enabled        7.x-2.7        
 Display Suite                        Display Suite Forms (ds_forms)                                             Module  Enabled        7.x-2.7        
 Display Suite                        Display Suite Search (ds_search)                                           Module  Not installed  7.x-2.7        
 Display Suite                        Display Suite UI (ds_ui)                                                   Module  Enabled        7.x-2.7        
 Example modules                      Action example (action_example)                                            Module  Not installed  7.x-1.x-dev    
 Example modules                      AJAX Example (ajax_example)                                                Module  Not installed  7.x-1.x-dev    
 Example modules                      Batch example (batch_example)                                              Module  Not installed  7.x-1.x-dev    
 Example modules                      Block Example (block_example)                                              Module  Not installed  7.x-1.x-dev    
 Example modules                      Cache Example (cache_example)                                              Module  Not installed  7.x-1.x-dev    
 Example modules                      Contextual links example (contextual_links_example)                        Module  Not installed  7.x-1.x-dev    
 Example modules                      Cron example (cron_example)                                                Module  Not installed  7.x-1.x-dev    
 Example modules                      DBTNG example (dbtng_example)                                              Module  Not installed  7.x-1.x-dev    
 Example modules                      E-mail Example (email_example)                                             Module  Enabled        7.x-1.x-dev    
 Example modules                      Entity Example (entity_example)                                            Module  Not installed  7.x-1.x-dev    
 Example modules                      Examples For Developers (examples)                                         Module  Enabled        7.x-1.x-dev    
 Example modules                      Field Example (field_example)                                              Module  Not installed  7.x-1.x-dev    
 Example modules                      Field Permission Example (field_permission_example)                        Module  Not installed  7.x-1.x-dev    
 Example modules                      File example (file_example)                                                Module  Not installed  7.x-1.x-dev    
 Example modules                      Filter example (filter_example)                                            Module  Not installed  7.x-1.x-dev    
 Example modules                      Form example (form_example)                                                Module  Not installed  7.x-1.x-dev    
 Example modules                      Image Example (image_example)                                              Module  Enabled        7.x-1.x-dev    
 Example modules                      JS Example (js_example)                                                    Module  Not installed  7.x-1.x-dev    
 Example modules                      Menu example (menu_example)                                                Module  Not installed  7.x-1.x-dev    
 Example modules                      Node access example (node_access_example)                                  Module  Not installed  7.x-1.x-dev    
 Example modules                      Node example (node_example)                                                Module  Not installed  7.x-1.x-dev    
 Example modules                      NodeAPI example (nodeapi_example)                                          Module  Not installed  7.x-1.x-dev    
 Example modules                      Page example (page_example)                                                Module  Not installed  7.x-1.x-dev    
